Unnamed: 0.1,Unnamed: 0,id,game,team_name,week,date,hour,duration,winner,mvp
81,1,https://ph-mpl.com/data/match/nxpe-omg-20220305,game1,NXPE,3,2022-03-05,20:00:00,14:53,0,Raizen
82,0,https://ph-mpl.com/data/match/nxpe-omg-20220305,game2,NXPE,3,2022-03-05,20:00:00,14:11,1,DONUT
83,1,https://ph-mpl.com/data/match/nxpe-omg-20220305,game2,OMG,3,2022-03-05,20:00:00,14:11,0,DONUT
84,0,https://ph-mpl.com/data/match/nxpe-omg-20220305,game3,NXPE,3,2022-03-05,20:00:00,15:42,0,Ch4knu
85,1,https://ph-mpl.com/data/match/nxpe-omg-20220305,game3,OMG,3,2022-03-05,20:00:00,15:42,1,Ch4knu
86,0,https://ph-mpl.com/data/match/tnc-onic-20220306,game1,TNC,3,2022-03-06,18:00:00,17:47,1,Yasuwo
87,1,https://ph-mpl.com/data/match/tnc-onic-20220306,game1,ONIC,3,2022-03-06,18:00:00,17:47,0,Yasuwo
88,0,https://ph-mpl.com/data/match/tnc-onic-20220306,game2,ONIC,3,2022-03-06,18:00:00,13:54,1,Baloyskie
89,1,https://ph-mpl.com/data/match/tnc-onic-20220306,game2,TNC,3,2022-03-06,18:00:00,13:54,0,Baloyskie
90,0,https://ph-mpl.com/data/match/tnc-onic-20220306,game3,ONIC,3,2022-03-06,18:00:00,17:25,1,Hatred
91,1,https://ph-mpl.com/data/match/tnc-onic-20220306,game3,TNC,3,2022-03-06,18:00:00,17:25,0,Hatred
92,0,https://ph-mpl.com/data/match/blck-rsg-20220306,game1,RSG,3,2022-03-06,20:00:00,13:56,1,Demonkite
93,1,https://ph-mpl.com/data/match/blck-rsg-20220306,game1,BLCK,3,2022-03-06,20:00:00,13:56,0,Demonkite
94,0,https://ph-mpl.com/data/match/blck-rsg-20220306,game2,RSG,3,2022-03-06,20:00:00,15:28,0,EDWARD
95,1,https://ph-mpl.com/data/match/blck-rsg-20220306,game2,BLCK,3,2022-03-06,20:00:00,15:28,1,EDWARD
96,0,https://ph-mpl.com/data/match/blck-rsg-20220306,game3,RSG,3,2022-03-06,20:00:00,13:54,1,Light
97,1,https://ph-mpl.com/data/match/blck-rsg-20220306,game3,BLCK,3,2022-03-06,20:00:00,13:54,0,Light
98,0,https://ph-mpl.com/data/match/bren-omg-20220311,game1,OMG,4,2022-03-11,18:00:00,17:14,0,LORD MALIKK
99,1,https://ph-mpl.com/data/match/bren-omg-20220311,game1,BREN,4,2022-03-11,18:00:00,17:14,1,LORD MALIKK
100,0,https://ph-mpl.com/data/match/bren-omg-20220311,game2,OMG,4,2022-03-11,18:00:00,15:00,1,E2MAX
101,1,https://ph-mpl.com/data/match/bren-omg-20220311,game2,BREN,4,2022-03-11,18:00:00,15:00,0,E2MAX
102,0,https://ph-mpl.com/data/match/bren-omg-20220311,game3,BREN,4,2022-03-11,18:00:00,21:56,1,Stowm
103,1,https://ph-mpl.com/data/match/bren-omg-20220311,game3,OMG,4,2022-03-11,18:00:00,21:56,0,Stowm
104,0,https://ph-mpl.com/data/match/echo-onic-20220311,game1,ECHO,4,2022-03-11,20:00:00,28:43,1,Bennyqt
105,1,https://ph-mpl.com/data/match/echo-onic-20220311,game1,ONIC,4,2022-03-11,20:00:00,28:43,0,Bennyqt
106,0,https://ph-mpl.com/data/match/echo-onic-20220311,game2,ECHO,4,2022-03-11,20:00:00,21:42,0,Dlarskie
107,1,https://ph-mpl.com/data/match/echo-onic-20220311,game2,ONIC,4,2022-03-11,20:00:00,21:42,1,Dlarskie
108,0,https://ph-mpl.com/data/match/echo-onic-20220311,game3,ONIC,4,2022-03-11,20:00:00,17:52,1,Kairi.
