Unnamed: 0,id,game,team_name,total_kills,total_assists,total_deaths,total_gold,gold_min,total_damage,damage_min,red_buff,blue_buff,lord_kill,tortoise_kill,tower_destroy
1,https://ph-mpl.com/data/match/bren-tnc-20220410,game1,TNC,11,17,14,"57,304","3,002","227,976","11,946",9,11,0,3,6
0,https://ph-mpl.com/data/match/bren-tnc-20220410,game2,TNC,4,6,7,"42,794","2,557","120,786","7,218",5,5,0,1,2
1,https://ph-mpl.com/data/match/bren-tnc-20220410,game2,BREN,7,14,4,"54,232","3,240","123,897","7,404",10,14,3,2,9
0,https://ph-mpl.com/data/match/echo-nxpe-20220410,game1,NXPE,17,40,16,"63,844","3,111","224,761","10,955",10,10,0,0,7
1,https://ph-mpl.com/data/match/echo-nxpe-20220410,game1,ECHO,16,36,17,"60,222","2,935","199,620","9,729",10,7,3,3,9
0,https://ph-mpl.com/data/match/echo-nxpe-20220410,game2,NXPE,17,28,5,"49,407","3,504","134,716","9,554",8,9,2,3,9
1,https://ph-mpl.com/data/match/echo-nxpe-20220410,game2,ECHO,5,9,17,"36,778","2,608","79,985","5,672",4,6,0,0,1
0,https://ph-mpl.com/data/match/echo-omg-20220428,game1,OMG,18,41,14,"51,804","3,367","200,885","13,058",8,6,2,1,9
1,https://ph-mpl.com/data/match/echo-omg-20220428,game1,ECHO,14,23,18,"44,959","2,922","135,265","8,792",8,9,0,2,5
0,https://ph-mpl.com/data/match/echo-omg-20220428,game2,OMG,21,52,15,"76,841","3,079","291,621","11,688",12,14,4,1,9
1,https://ph-mpl.com/data/match/echo-omg-20220428,game2,ECHO,15,30,21,"73,198","2,933","410,752","16,463",12,11,1,2,6
0,https://ph-mpl.com/data/match/echo-omg-20220428,game3,ECHO,12,29,18,"65,657","2,774","188,089","7,947",12,15,3,3,9
1,https://ph-mpl.com/data/match/echo-omg-20220428,game3,OMG,18,41,12,"72,487","3,062","263,935","11,152",8,7,1,0,6
0,https://ph-mpl.com/data/match/echo-onic-20220311,game1,ECHO,23,61,24,"90,720","3,159","436,610","15,204",9,13,1,0,7
1,https://ph-mpl.com/data/match/echo-onic-20220311,game1,ONIC,24,56,23,"83,480","2,907","333,820","11,624",16,18,3,3,9
0,https://ph-mpl.com/data/match/echo-onic-20220311,game2,ECHO,15,41,17,"59,431","2,738","200,123","9,222",7,8,0,0,3
1,https://ph-mpl.com/data/match/echo-onic-20220311,game2,ONIC,17,38,15,"69,238","3,190","297,403","13,705",15,17,4,3,9
0,https://ph-mpl.com/data/match/echo-onic-20220311,game3,ONIC,19,41,22,"55,551","3,109","245,408","13,735",7,10,0,1,6
1,https://ph-mpl.com/data/match/echo-onic-20220311,game3,ECHO,22,59,19,"54,929","3,074","261,768","14,651",8,8,2,2,8
0,https://ph-mpl.com/data/match/echo-onic-20220408,game1,ECHO,12,23,10,"45,521","3,217","116,558","8,237",7,10,2,1,8
1,https://ph-mpl.com/data/match/echo-onic-20220408,game1,ONIC,10,22,12,"39,091","2,762","153,574","10,853",7,5,0,2,3
0,https://ph-mpl.com/data/match/echo-onic-20220408,game2,ECHO,4,8,13,"36,755","2,508","107,064","7,308",5,7,0,1,2
1,https://ph-mpl.com/data/match/echo-onic-20220408,game2,ONIC,13,31,4,"50,239","3,429","135,898","9,276",9,8,2,2,9
0,https://ph-mpl.com/data/match/echo-onic-20220408,game3,ONIC,13,25,13,"50,878","3,414","230,027","15,438",7,9,2,3,9
1,https://ph-mpl.com/data/match/echo-onic-20220408,game3,ECHO,13,22,13,"42,776","2,870","148,341","9,955",7,7,0,0,2
0,https://ph-mpl.com/data/match/echo-rsg-20220305,game1,RSG,6,11,12,"48,184","2,853","161,364","9,557",7,7,2,3,4
1,https://ph-mpl.com/data/match/echo-rsg-20220305,game1,ECHO,12,26,6,"55,339","3,277","188,411","11,159",9,13,1,0,9
0,https://ph-mpl.com/data/match/echo-rsg-20220305,game2,ECHO,19,47,12,"60,709","3,234","215,890","11,503",9,10,2,2,9
1,https://ph-mpl.com/data/match/echo-rsg-20220305,game2,RSG,12,34,19,"55,124","2,937","200,211","10,668",8,10,1,1,4
0,https://ph-mpl.com/data/match/echo-rsg-20220402,game1,RSG,15,50,5,"53,741","3,260","200,866","12,186",9,11,2,2,8
1,https://ph-mpl.com/data/match/echo-rsg-20220402,game1,ECHO,5,8,15,"41,241","2,501","138,941","8,429",7,6,0,1,0
0,https://ph-mpl.com/data/match/echo-rsg-20220402,game2,RSG,19,50,9,"52,809","3,360","224,749","14,300",9,11,2,2,8
1,https://ph-mpl.com/data/match/echo-rsg-20220402,game2,ECHO,9,17,19,"42,153","2,682","182,400","11,605",6,6,0,1,2
0,https://ph-mpl.com/data/match/nxpe-bren-20220227,game1,NXPE,12,21,6,"43,795","3,084","145,718","10,261",5,7,0,2,8
1,https://ph-mpl.com/data/match/nxpe-bren-20220227,game1,BREN,6,14,12,"43,020","3,029","97,363","6,856",8,8,2,1,5
0,https://ph-mpl.com/data/match/nxpe-bren-20220227,game2,BREN,1,2,15,"34,619","2,409","94,055","6,546",4,5,0,0,2
1,https://ph-mpl.com/data/match/nxpe-bren-20220227,game2,NXPE,15,31,1,"49,096","3,417","179,624","12,502",7,10,2,3,9
0,https://ph-mpl.com/data/match/nxpe-bren-20220327,game1,NXPE,18,38,8,"56,156","3,221","215,174","12,342",10,9,3,1,7
1,https://ph-mpl.com/data/match/nxpe-bren-20220327,game1,BREN,8,21,18,"48,313","2,771","175,417","10,062",6,9,0,2,2
0,https://ph-mpl.com/data/match/nxpe-bren-20220327,game2,NXPE,19,50,6,"54,070","3,037","288,909","16,230",9,7,1,1,6
1,https://ph-mpl.com/data/match/nxpe-bren-20220327,game2,BREN,6,12,19,"46,486","2,611","214,281","12,038",7,9,1,2,3
0,https://ph-mpl.com/data/match/nxpe-omg-20220305,game1,OMG,11,25,4,"47,925","3,220","138,727","9,320",7,9,2,2,7
1,https://ph-mpl.com/data/match/nxpe-omg-20220305,game1,NXPE,4,11,11,"37,954","2,550","77,509","5,207",8,7,0,0,2
0,https://ph-mpl.com/data/match/nxpe-omg-20220305,game2,NXPE,15,37,5,"46,777","3,298","115,659","8,154",8,11,2,3,8
1,https://ph-mpl.com/data/match/nxpe-omg-20220305,game2,OMG,5,12,15,"37,335","2,632","84,433","5,952",6,4,0,0,1
0,https://ph-mpl.com/data/match/nxpe-omg-20220305,game3,NXPE,5,11,13,"40,529","2,581","118,263","7,532",7,7,0,2,1
1,https://ph-mpl.com/data/match/nxpe-omg-20220305,game3,OMG,13,29,5,"54,250","3,455","142,422","9,071",8,9,2,1,9
0,https://ph-mpl.com/data/match/nxpe-omg-20220402,game1,NXPE,-,-,-,-,-,-,-,-,-,-,-,-
1,https://ph-mpl.com/data/match/nxpe-omg-20220402,game1,OMG,-,-,-,-,-,-,-,-,-,-,-,-
0,https://ph-mpl.com/data/match/nxpe-omg-20220402,game2,OMG,-,-,-,-,-,-,-,-,-,-,-,-
1,https://ph-mpl.com/data/match/nxpe-omg-20220402,game2,NXPE,-,-,-,-,-,-,-,-,-,-,-,-
0,https://ph-mpl.com/data/match/nxpe-omg-20220402,game3,NXPE,9,22,17,"49,852","2,726","193,683","10,593",8,6,1,0,2
1,https://ph-mpl.com/data/match/nxpe-omg-20220402,game3,OMG,17,37,9,"55,495","3,035","340,248","18,609",8,10,2,3,8
0,https://ph-mpl.com/data/match/nxpe-omg-20220402,game4,OMG,13,25,2,"42,687","3,513","149,475","12,302",6,7,1,2,8
1,https://ph-mpl.com/data/match/nxpe-omg-20220402,game4,NXPE,2,4,13,"31,384","2,583","95,753","7,880",5,6,0,1,0
0,https://ph-mpl.com/data/match/nxpe-onic-20220428,game1,NXPE,43,34,25,"52,073","2,797","384,222","20,638",7,11,0,0,8
1,https://ph-mpl.com/data/match/nxpe-onic-20220428,game1,ONIC,25,33,43,"49,342","2,650","165,995","8,916",2,4,0,2,5
0,https://ph-mpl.com/data/match/nxpe-onic-20220428,game2,NXPE,24,63,6,"47,679","3,314","232,902","16,192",4,12,2,1,7
1,https://ph-mpl.com/data/match/nxpe-onic-20220428,game2,ONIC,5,17,24,"37,165","2,583","115,517","8,031",6,3,0,2,0
0,https://ph-mpl.com/data/match/nxpe-onic-20220428,game3,ONIC,22,50,10,"69,697","3,168","268,505","12,204",11,16,4,2,9
1,https://ph-mpl.com/data/match/nxpe-onic-20220428,game3,NXPE,10,15,22,"61,685","2,803","319,937","14,542",10,6,0,1,3
0,https://ph-mpl.com/data/match/nxpe-onic-20220428,game4,ONIC,19,47,10,"61,256","3,198","229,636","11,991",12,15,3,2,9
1,https://ph-mpl.com/data/match/nxpe-onic-20220428,game4,NXPE,10,21,19,"54,569","2,849","145,285","7,586",7,6,0,1,3
0,https://ph-mpl.com/data/match/nxpe-onic-20220428,game5,NXPE,20,37,8,"41,344","3,268","204,299","16,150",5,8,0,0,7
1,https://ph-mpl.com/data/match/nxpe-onic-20220428,game5,ONIC,8,13,20,"35,173","2,780","135,446","10,707",5,5,1,3,2
0,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game1,NXPE,15,36,3,"39,031","3,532","154,703","14,000",5,6,1,2,8
1,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game1,TNC,3,4,15,"28,162","2,548","50,139","4,537",5,5,0,1,0
0,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game2,TNC,6,14,2,"45,594","3,423","148,643","11,162",10,7,2,3,8
1,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game2,NXPE,2,4,6,"33,863","2,542","88,167","6,620",4,6,0,0,0
0,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game3,TNC,8,10,18,"61,010","2,952","189,636","9,175",8,5,1,2,3
1,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game3,NXPE,18,42,8,"66,213","3,203","231,285","11,191",11,16,2,1,9
0,https://ph-mpl.com/data/match/nxpe-tnc-20220409,game1,NXPE,4,6,10,"38,964","2,635","90,261","6,105",6,7,0,1,1
